id,t,x,y,z
"2761146","508","0.623331","0.0845646","0.119502"
"2761147","509","0.624743","0.0840793","0.119623"
"2761148","510","0.626117","0.0835934","0.119755"
"2761149","511","0.627481","0.0831209","0.119894"
"2761150","512","0.628863","0.0826758","0.120036"
"2761151","513","0.630285","0.0822699","0.120189"
"2761152","514","0.631759","0.0819086","0.120361"
"2761153","515","0.633301","0.0815972","0.120562"
"2761154","516","0.634931","0.0813473","0.120799"
"2761155","517","0.636661","0.081172","0.121061"
"2761156","518","0.638502","0.0810786","0.12131"
"2761157","519","0.640469","0.0810657","0.121498"
"2761158","520","0.642566","0.0811168","0.121587"
"2761159","521","0.644786","0.0812212","0.121562"
"2761160","522","0.647121","0.0813709","0.121418"
"2761161","523","0.649564","0.0815656","0.121159"
"2761162","524","0.652109","0.0818169","0.120806"
"2761163","525","0.654739","0.0821214","0.120441"
"2761164","526","0.657437","0.0824502","0.120105"
"2761165","527","0.660194","0.0827728","0.119778"
"2761166","528","0.663008","0.0830696","0.119385"
"2761167","529","0.665877","0.0833231","0.118896"
"2761168","530","0.668787","0.0835207","0.118318"
"2761169","531","0.671734","0.0836549","0.117648"
"2761170","532","0.674711","0.0837271","0.116953"
"2761171","533","0.677715","0.0837397","0.116266"
"2761172","534","0.680749","0.0836781","0.115566"
"2761173","535","0.683798","0.083549","0.114875"
"2761174","536","0.686833","0.0833733","0.114257"
"2761175","537","0.689838","0.0831601","0.113713"
"2761176","538","0.692818","0.0829129","0.113234"
"2761177","539","0.695784","0.0826388","0.112811"
"2761178","540","0.698747","0.0823552","0.112433"
"2761179","541","0.701709","0.0820668","0.112095"
"2761180","542","0.704667","0.0817797","0.111819"
"2761181","543","0.707612","0.0815229","0.111588"
"2761182","544","0.710544","0.0813119","0.111365"
"2761183","545","0.713459","0.0811576","0.111189"
"2761184","546","0.716352","0.0810704","0.111068"
